Ensemble_cospectra,fitted_Massman_cospectra_and_Kaimal_cospectra.
Massman_model:
n*Co(ws)/cov(ws)=a0*(fn/fpeak)/(1+(fn/fpeak)^(2mu))^(1.167/mu)
(note_that_slope_parameter_"m"_is_fixed_to_m=0.75)
a0=normalization_factor
fpeak=frequency_at_which_cospectrum_attains_highest_value
mu=broadness_factor

For_Kaimal_ideal_cospectra:see_e.g._Moncrieff_et_al._(1997_JoH)_Eqs.12-16.
(for_stable_stratifications_two_extreme_ideal_cospectra_are_reported_corresponding_to_z/L=0.01_(slightly_stable)_and_to_z/L=10.0_(very_stable).
-----------------------------------------------------------------------
Massman_model_fit_parameters_for_this_run:
w/T (unstable):
a0,    1.5367
fpeak,    0.1240
mu,    0.3904
w/T (stable):
a0,    1.2970
fpeak,    0.2061
mu,    0.4363
w/CO2 (unstable):
a0,    1.0006
fpeak,    0.1005
mu,    0.5572
w/CO2 (stable):
a0,    1.2152
fpeak,    0.1193
mu,    0.5221
w/H2O (unstable):
a0,    0.7382
fpeak,    0.0730
mu,    0.7273
w/H2O (stable):
a0,    1.1285
fpeak,    0.0374
mu,    0.4618
w/CH4 (unstable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
w/CH4 (stable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
w/none (unstable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
w/none (stable):
a0,-9999.0000
fpeak,-9999.0000
mu,-9999.0000
-----------------------------------------------------------------------
unstable_(-650<L<0),,,,,,,,,,,,,,,,,,,,,,,,,stable(0<L<1000)
fn,avrg_cosp(w/T),fit_cosp(w/T),kaimal_cosp,,fn,avrg_cosp(w/co2),fit_cosp(w/co2),kaimal_cosp,,fn,avrg_cosp(w/h2o),fit_cosp(w/h2o),kaimal_cosp,,fn,avrg_cosp(w/ch4),fit_cosp(w/ch4),kaimal_cosp,,fn,avrg_cosp(w/none),fit_cosp(w/none),kaimal_cosp,,fn,avrg_cosp(w/T),fit_cosp(w/T),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/co2),fit_cosp(w/co2),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/h2o),fit_cosp(w/h2o),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/ch4),fit_cosp(w/ch4),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0,,fn,avrg_cosp(w/none),fit_cosp(w/none),kaimal_cosp_zL_0.01,kaimal_cosp_zL_10.0
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.113699E-02,NaN,0.695340E-02,0.382139E-02,0.174885E-03,,0.110507E-02,NaN,0.110707E-01,0.371413E-02,0.169976E-03,,0.114826E-02,NaN,0.313429E-01,0.385928E-02,0.176618E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.143794E-02,NaN,0.162792E-01,0.176402E-01,,0.143548E-02,NaN,0.140300E-01,0.176116E-01,,0.141561E-02,NaN,0.142444E-01,0.173800E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.132477E-02,NaN,0.806921E-02,0.445251E-02,0.203769E-03,,0.134304E-02,NaN,0.134041E-01,0.451390E-02,0.206579E-03,,0.134320E-02,0.774937,0.361143E-01,0.451445E-02,0.206604E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.168757E-02,NaN,0.188799E-01,0.205214E-01,,0.169593E-02,0.509839E-01,0.165141E-01,0.206170E-01,,0.174328E-02,0.570043E-01,0.175096E-01,0.211574E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.172275E-02,0.144829,0.104065E-01,0.579000E-02,0.264984E-03,,0.173217E-02,0.214069,0.171806E-01,0.582163E-02,0.266432E-03,,0.173889E-02,0.317259,0.453750E-01,0.584421E-02,0.267466E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.219464E-02,0.335855E-01,0.239976E-01,0.262193E-01,,0.217198E-02,0.418989E-01,0.210032E-01,0.259689E-01,,0.214042E-02,0.394356E-01,0.214464E-01,0.256197E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.214874E-02,0.713717E-01,0.128686E-01,0.722150E-02,0.330507E-03,,0.217335E-02,0.238165,0.214040E-01,0.730420E-02,0.334293E-03,,0.214902E-02,0.471693,0.544146E-01,0.722245E-02,0.330551E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.273792E-02,0.361985E-01,0.292555E-01,0.321035E-01,,0.272293E-02,0.424734E-01,0.261152E-01,0.319440E-01,,0.272658E-02,0.499249E-01,0.272116E-01,0.319829E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.271782E-02,0.693476E-01,0.160969E-01,0.913363E-02,0.418040E-03,,0.270585E-02,0.144471,0.264194E-01,0.909339E-02,0.416198E-03,,0.273946E-02,0.503001,0.665134E-01,0.920633E-02,0.421368E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.343666E-02,0.498226E-01,0.357077E-01,0.393528E-01,,0.343570E-02,0.553074E-01,0.325948E-01,0.393430E-01,,0.344431E-02,0.509531E-01,0.341898E-01,0.394301E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.344789E-02,0.707688E-01,0.201416E-01,0.115862E-01,0.530335E-03,,0.344180E-02,0.155776,0.332048E-01,0.115657E-01,0.529397E-03,,0.343109E-02,0.466620,0.794451E-01,0.115298E-01,0.527750E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.441634E-02,0.473100E-01,0.442265E-01,0.489510E-01,,0.442675E-02,0.593269E-01,0.413528E-01,0.490497E-01,,0.438719E-02,0.557678E-01,0.432085E-01,0.486745E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.436846E-02,0.735827E-01,0.250954E-01,0.146778E-01,0.671931E-03,,0.437708E-02,0.144395,0.415868E-01,0.147067E-01,0.673257E-03,,0.435337E-02,0.395372,0.948495E-01,0.146271E-01,0.669610E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.558192E-02,0.767659E-01,0.536514E-01,0.595781E-01,,0.558040E-02,0.781402E-01,0.511820E-01,0.595647E-01,,0.557672E-02,0.852376E-01,0.543234E-01,0.595325E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.551481E-02,0.785641E-01,0.310503E-01,0.185256E-01,0.848255E-03,,0.552232E-02,0.158009,0.514913E-01,0.185508E-01,0.849412E-03,,0.554396E-02,0.301131,0.112054,0.186234E-01,0.852739E-03,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.701732E-02,0.749490E-01,0.643298E-01,0.715949E-01,,0.704434E-02,0.728430E-01,0.630975E-01,0.718105E-01,,0.699713E-02,0.889291E-01,0.671802E-01,0.714334E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.702256E-02,0.896505E-01,0.385463E-01,0.235821E-01,0.108017E-02,,0.702461E-02,0.215429,0.639033E-01,0.235889E-01,0.108048E-02,,0.699384E-02,0.348532,0.129587,0.234858E-01,0.107575E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.890949E-02,0.759223E-01,0.770552E-01,0.858382E-01,,0.889155E-02,0.941126E-01,0.772677E-01,0.857110E-01,,0.889607E-02,0.100585,0.836130E-01,0.857430E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.892337E-02,0.109804,0.474953E-01,0.299475E-01,0.137254E-02,,0.890162E-02,0.218471,0.785259E-01,0.298748E-01,0.136919E-02,,0.891880E-02,0.332004,0.148183,0.299322E-01,0.137183E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.112398E-01,0.947556E-01,0.909366E-01,0.101228,,0.112311E-01,0.103795,0.938895E-01,0.101175,,0.112101E-01,0.123371,0.102409,0.101045,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.112657E-01,0.120512,0.578223E-01,0.377731E-01,0.173281E-02,,0.112939E-01,0.229663,0.958187E-01,0.378672E-01,0.173715E-02,,0.113037E-01,0.392639,0.165477,0.379002E-01,0.173867E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.142370E-01,0.101391,0.106380,0.118111,,0.142431E-01,0.110133,0.113243,0.118143,,0.142422E-01,0.117305,0.124935,0.118138,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.142577E-01,0.122540,0.700025E-01,0.477315E-01,0.219302E-02,,0.142288E-01,0.214958,0.115129,0.476358E-01,0.218858E-02,,0.142003E-01,0.340059,0.180148,0.475411E-01,0.218420E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.180057E-01,0.126752,0.122681,0.135600,,0.179846E-01,0.125842,0.134351,0.135512,,0.179866E-01,0.145250,0.149463,0.135520,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.180402E-01,0.146523,0.839633E-01,0.602427E-01,0.277482E-02,,0.180457E-01,0.249353,0.137397,0.602605E-01,0.277565E-02,,0.179960E-01,0.348096,0.192008,0.600970E-01,0.276802E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.227757E-01,0.119976,0.139395,0.153126,,0.227845E-01,0.128992,0.157216,0.153154,,0.228150E-01,0.143878,0.175941,0.153253,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.228469E-01,0.158817,0.996936E-01,0.759785E-01,0.351411E-02,,0.228447E-01,0.272130,0.161376,0.759716E-01,0.351379E-02,,0.228067E-01,0.358508,0.199202,0.758480E-01,0.350794E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.288905E-01,0.121838,0.155952,0.170055,,0.289446E-01,0.140018,0.180660,0.170183,,0.288976E-01,0.146142,0.201792,0.170072,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.288258E-01,0.182867,0.116597,0.952289E-01,0.443371E-02,,0.289319E-01,0.298447,0.186312,0.955665E-01,0.445001E-02,,0.288734E-01,0.330062,0.200833,0.953806E-01,0.444103E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.365141E-01,0.139842,0.170984,0.185072,,0.365323E-01,0.149765,0.202153,0.185102,,0.365275E-01,0.168999,0.224196,0.185094,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.365711E-01,0.218293,0.134871,0.119492,0.562492E-02,,0.366088E-01,0.337719,0.210639,0.119608,0.563071E-02,,0.366092E-01,0.368120,0.196548,0.119609,0.563077E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.462182E-01,0.162432,0.183816,0.197733,,0.462244E-01,0.173250,0.220562,0.197739,,0.462683E-01,0.179825,0.240273,0.197784,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.463329E-01,0.250187,0.153257,0.148720,0.712614E-02,,0.463498E-01,0.383848,0.232644,0.148769,0.712874E-02,,0.463116E-01,0.342443,0.186736,0.148658,0.712287E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
