Ensemble_cospectra,fitted_Massman_cospectra_and_Kaimal_cospectra.
0.586674E-01,0.180170,0.193427,0.207412,,0.585851E-01,0.194285,0.233610,0.207365,,0.586170E-01,0.200388,0.246809,0.207383,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.585878E-01,0.268896,0.170708,0.182816,0.901057E-02,,0.585667E-01,0.372740,0.250032,0.182761,0.900732E-02,,0.584851E-01,0.338245,0.172386,0.182544,0.899479E-02,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.742842E-01,0.187222,0.198725,0.213517,,0.743318E-01,0.214583,0.239329,0.213529,,0.743213E-01,0.209722,0.242067,0.213526,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.743090E-01,0.304261,0.186373,0.221600,0.114275E-01,,0.742561E-01,0.427787,0.261120,0.221480,0.114194E-01,,0.743738E-01,0.337321,0.154171,0.221748,0.114375E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.941288E-01,0.207475,0.199249,0.216091,,0.939568E-01,0.213360,0.236695,0.216085,,0.940391E-01,0.216744,0.226565,0.216088,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.939978E-01,0.333492,0.198590,0.261502,0.144536E-01,,0.940377E-01,0.461826,0.264058,0.261573,0.144597E-01,,0.940426E-01,0.330590,0.134540,0.261581,0.144605E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.119140,0.227647,0.194835,0.215305,,0.119191,0.245830,0.225693,0.215301,,0.119154,0.238365,0.202518,0.215304,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.119133,0.349182,0.206420,0.298290,0.183147E-01,,0.119090,0.460964,0.258265,0.298240,0.183081E-01,,0.118988,0.303761,0.114473,0.298121,0.182924E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.151084,0.217757,0.185679,0.211523,,0.151033,0.245088,0.207618,0.211530,,0.150912,0.212668,0.173660,0.211547,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.150990,0.364761,0.208849,0.324661,0.232043E-01,,0.150983,0.497741,0.244097,0.324657,0.232032E-01,,0.151061,0.274794,0.949469E-01,0.324698,0.232153E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.191192,0.194824,0.172627,0.205320,,0.191178,0.216411,0.184618,0.205322,,0.190993,0.183959,0.143710,0.205352,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.191203,0.345542,0.205492,0.333910,0.293680E-01,,0.191281,0.436846,0.223133,0.333909,0.293799E-01,,0.190822,0.247917,0.774830E-01,0.333916,0.293096E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.242263,0.178192,0.156513,0.197179,,0.242487,0.202159,0.158803,0.197144,,0.242340,0.162958,0.115130,0.197167,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.242112,0.322305,0.196550,0.323184,0.371535E-01,,0.242013,0.400159,0.197692,0.323219,0.371385E-01,,0.241970,0.196498,0.619019E-01,0.323235,0.371318E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.306583,0.152716,0.138661,0.187727,,0.306556,0.172539,0.133033,0.187731,,0.306853,0.133465,0.902118E-01,0.187690,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.305766,0.276436,0.182951,0.295470,0.468525E-01,,0.305889,0.320470,0.170189,0.295411,0.468713E-01,,0.305647,0.143878,0.488826E-01,0.295527,0.468345E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.388831,0.128800,0.119962,0.177310,,0.388437,0.144671,0.108486,0.177356,,0.388881,0.939208E-01,0.693137E-01,0.177304,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.388198,0.235743,0.165357,0.256288,0.593369E-01,,0.388036,0.278803,0.142269,0.256362,0.593124E-01,,0.388507,0.118775,0.378456E-01,0.256148,0.593835E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.491581,0.102061,0.101846,0.166577,,0.491961,0.104643,0.866130E-01,0.166541,,0.491083,0.644607E-01,0.527304E-01,0.166624,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.491930,0.190457,0.145654,0.213982,0.748908E-01,,0.491248,0.213826,0.116308,0.214228,0.747892E-01,,0.492074,0.819185E-01,0.290827E-01,0.213930,0.749122E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.623073,0.808465E-01,0.846626E-01,0.147986,,0.622246,0.731773E-01,0.680071E-01,0.148121,,0.622285,0.463466E-01,0.395354E-01,0.148115,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.622817,0.159650,0.125238,0.173863,0.941982E-01,,0.622346,0.170451,0.930917E-01,0.173985,0.941294E-01,,0.622052,0.550240E-01,0.221905E-01,0.174061,0.940865E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.788969,0.631273E-01,0.692096E-01,0.124134,,0.789423,0.544322E-01,0.524385E-01,0.124077,,0.788497,0.301488E-01,0.294145E-01,0.124194,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.788791,0.132569,0.105247,0.138576,0.118035,,0.787688,0.131439,0.732876E-01,0.138768,0.117879,,0.789494,0.474911E-01,0.167223E-01,0.138454,0.118134,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
0.997762,0.494988E-01,0.557648E-01,0.101665,,0.997706,0.321545E-01,0.401189E-01,0.101670,,0.996520,0.203189E-01,0.218335E-01,0.101779,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,0.999431,0.106204,0.866184E-01,0.109044,0.146987,,0.999197,0.990543E-01,0.567230E-01,0.109070,0.146955,,0.998275,0.374473E-01,0.125768E-01,0.109174,0.146832,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
1.26367,0.399159E-01,0.442512E-01,0.813451E-01,,1.26371,0.223979E-01,0.303219E-01,0.813425E-01,,1.25918,0.124748E-01,0.161456E-01,0.816314E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,1.26655,0.936797E-01,0.699790E-01,0.851150E-01,0.181153,,1.26214,0.757563E-01,0.435810E-01,0.854291E-01,0.180615,,1.26816,0.239759E-01,0.935530E-02,0.850003E-01,0.181350,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
1.59353,0.342709E-01,0.348452E-01,0.641480E-01,,1.59547,0.165394E-01,0.228316E-01,0.640653E-01,,1.60093,0.737473E-02,0.118093E-01,0.638333E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,1.59999,0.750472E-01,0.558068E-01,0.663349E-01,0.219110,,1.59575,0.583508E-01,0.331265E-01,0.665242E-01,0.218663,,1.59698,0.215132E-01,0.700515E-02,0.664693E-01,0.218793,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
2.01668,0.291393E-01,0.270499E-01,0.495979E-01,,2.01729,0.118772E-01,0.170579E-01,0.495810E-01,,2.01818,0.580723E-02,0.871603E-02,0.495564E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,2.02634,0.622214E-01,0.437838E-01,0.514028E-01,0.259236,,2.02056,0.429893E-01,0.249367E-01,0.515622E-01,0.258757,,2.02288,0.153316E-01,0.518872E-02,0.514981E-01,0.258949,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
2.54838,0.193506E-01,0.208406E-01,0.378961E-01,,2.54662,0.803044E-02,0.127095E-01,0.379269E-01,,2.54489,0.342651E-02,0.642130E-02,0.379571E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,2.56044,0.530205E-01,0.340269E-01,0.398565E-01,0.295970,,2.56793,0.343487E-01,0.185663E-01,0.397297E-01,0.296383,,2.55675,0.142814E-01,0.384307E-02,0.399193E-01,0.295765,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
3.21370,0.163075E-01,0.159685E-01,0.287046E-01,,3.19971,0.817122E-02,0.949229E-02,0.288576E-01,,3.20878,0.189491E-02,0.472636E-02,0.287582E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,3.23526,0.433203E-01,0.261808E-01,0.308693E-01,0.323051,,3.23049,0.295559E-01,0.139286E-01,0.309191E-01,0.322925,,3.22950,0.980100E-02,0.284213E-02,0.309295E-01,0.322899,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
4.07064,0.108357E-01,0.120907E-01,0.214276E-01,,4.04675,0.667548E-02,0.701007E-02,0.215863E-01,,4.05602,0.190287E-02,0.346469E-02,0.215245E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,4.09449,0.359483E-01,0.199360E-01,0.238500E-01,0.333895,,4.09824,0.216333E-01,0.102982E-01,0.238261E-01,0.333899,,4.09984,0.678852E-02,0.208428E-02,0.238159E-01,0.333901,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
5.13406,0.109445E-01,0.914834E-02,0.159606E-01,,5.12632,0.609163E-02,0.515430E-02,0.159915E-01,,5.13976,0.152612E-02,0.253003E-02,0.159378E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,5.17306,0.291264E-01,0.151022E-01,0.184535E-01,0.325033,,5.17869,0.181113E-01,0.762764E-02,0.184314E-01,0.324947,,5.17456,0.652992E-02,0.153777E-02,0.184476E-01,0.325010,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
6.51848,0.932355E-02,0.683246E-02,0.117149E-01,,6.40163,0.503527E-02,0.385469E-02,0.119950E-01,,6.51591,NaN,0.184573E-02,0.117209E-01,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,6.57875,0.224546E-01,0.112815E-01,0.141718E-01,0.297717,,6.55474,0.140150E-01,0.562341E-02,0.142288E-01,0.298240,,6.60478,0.340537E-02,0.111658E-02,0.141104E-01,0.297148,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
8.30758,NaN,0.505692E-02,0.851188E-02,,8.29969,NaN,0.274056E-02,0.852263E-02,,8.00366,NaN,0.140393E-02,0.894277E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,8.30031,0.170269E-01,0.846664E-02,0.109771E-01,0.260103,,8.25765,0.104345E-01,0.416288E-02,0.110394E-01,0.261003,,8.27791,0.277669E-02,0.829597E-03,0.110097E-01,0.260575,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
10.5070,NaN,0.376501E-02,0.622214E-02,,10.6193,NaN,0.198023E-02,0.613407E-02,,10.6543,NaN,0.959293E-03,0.610701E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,10.5409,0.134332E-01,0.627661E-02,0.844099E-02,0.217460,,10.5883,0.124222E-01,0.300652E-02,0.839941E-02,0.216661,,10.7474,0.183548E-02,0.587877E-03,0.826281E-02,0.214014,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
13.0892,NaN,0.284926E-02,0.462774E-02,,13.5151,NaN,0.143968E-02,0.443149E-02,,13.4019,NaN,0.706703E-03,0.448224E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,13.3421,0.114516E-01,0.465619E-02,0.651404E-02,0.177073,,13.3501,0.106463E-01,0.221701E-02,0.650979E-02,0.176976,,13.2094,0.101259E-02,0.447574E-03,0.658606E-02,0.178704,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
16.4428,NaN,0.212856E-02,0.339530E-02,,16.8293,NaN,0.107672E-02,0.328949E-02,,16.8293,NaN,0.521757E-03,0.328949E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,16.9146,0.124426E-01,0.343736E-02,0.501806E-02,0.141179,,17.0630,0.931793E-02,0.160417E-02,0.497006E-02,0.139967,,16.8920,0.259584E-02,0.323187E-03,0.502545E-02,0.141366,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
22.1866,NaN,0.144692E-02,0.225412E-02,,21.9971,NaN,0.754772E-03,0.228080E-02,,22.1866,NaN,0.361011E-03,0.225412E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,21.1757,0.978998E-02,0.257309E-02,0.391937E-02,0.112562,,21.3895,0.735611E-02,0.118996E-02,0.387630E-02,0.111406,,21.5450,0.119581E-02,0.234069E-03,0.384554E-02,0.110578,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,28.8060,NaN,0.527521E-03,0.157413E-02,,26.8037,NaN,0.280602E-03,0.173836E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,26.9118,0.105217E-01,0.188554E-02,0.301099E-02,0.876704E-01,,27.3078,NaN,0.861091E-03,0.296300E-02,0.863284E-01,,26.6232,0.414460E-03,0.176743E-03,0.304692E-02,0.886737E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,33.4782,NaN,0.431973E-03,0.127928E-02,,33.2235,NaN,0.210761E-03,0.129285E-02,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,33.0056,NaN,0.144514E-02,0.240550E-02,0.705608E-01,,32.9626,NaN,0.670908E-03,0.240895E-02,0.706593E-01,,35.4249,NaN,0.120930E-03,0.222543E-02,0.654039E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,44.8411,NaN,0.141313E-03,0.853786E-03,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,43.9816,NaN,0.992432E-03,0.175411E-02,0.517789E-01,,44.3108,NaN,0.452972E-03,0.173978E-02,0.513620E-01,,44.3108,NaN,0.898043E-04,0.173978E-02,0.513620E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,56.3299,NaN,0.216158E-03,0.622160E-03,,56.3299,NaN,0.104260E-03,0.622160E-03,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,54.7282,NaN,0.744681E-03,0.137919E-02,0.408267E-01,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,70.3053,NaN,0.160921E-03,0.457212E-03,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,81.7085,NaN,0.634985E-04,0.370911E-03,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,
